GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tullibee-jacoco-offline,com.ib.client,EWrapperMsgGenerator,1687,0,34,0,82,0,53,0,36,0
tullibee-jacoco-offline,com.ib.client,UnderComp,52,0,12,0,17,0,8,0,2,0
tullibee-jacoco-offline,com.ib.client,ExecutionFilter,93,0,18,0,26,0,12,0,3,0
tullibee-jacoco-offline,com.ib.client,Contract,225,0,44,0,60,0,26,0,4,0
tullibee-jacoco-offline,com.ib.client,ContractDetails,92,0,0,0,27,0,2,0,2,0
tullibee-jacoco-offline,com.ib.client,ComboLeg,100,0,18,0,25,0,13,0,4,0
tullibee-jacoco-offline,com.ib.client,Order,464,0,134,0,61,0,69,0,2,0
tullibee-jacoco-offline,com.ib.client,AnyWrapperMsgGenerator,61,0,0,0,11,0,6,0,6,0
tullibee-jacoco-offline,com.ib.client,EException,0,52,0,0,0,12,0,6,0,6
tullibee-jacoco-offline,com.ib.client,TickType,107,0,51,0,53,0,52,0,2,0
tullibee-jacoco-offline,com.ib.client,EClientErrors.CodeMsgPair,0,15,0,0,0,6,0,3,0,3
tullibee-jacoco-offline,com.ib.client,TagValue,40,0,8,0,15,0,7,0,3,0
tullibee-jacoco-offline,com.ib.client,EClientErrors,3,175,0,0,2,29,1,1,1,1
tullibee-jacoco-offline,com.ib.client,Execution,93,0,4,0,33,0,5,0,3,0
tullibee-jacoco-offline,com.ib.client,ScannerSubscription,177,0,0,0,52,0,43,0,43,0
tullibee-jacoco-offline,com.ib.client,Util,124,7,28,2,27,1,22,1,7,1
tullibee-jacoco-offline,com.ib.client,EReader,1979,104,199,13,546,35,126,12,7,8
tullibee-jacoco-offline,com.ib.client,OrderState,105,0,20,0,26,0,13,0,3,0
tullibee-jacoco-offline,com.ib.client,EClientSocket,2333,164,309,21,674,44,200,23,43,14
